Año,Departamento,Orientación,NoAnimales
2004,Córdoba,Carne,2230719.00
2005,Córdoba,Carne,1810069.00
2006,Córdoba,Carne,2033281.00
2007,Córdoba,Carne,2181325.00
2008,Córdoba,Carne,2078583.00
2009,Córdoba,Carne,1971175.00
2004,Córdoba,Doble Utilidad,243485.00
2005,Córdoba,Doble Utilidad,517324.00
2006,Córdoba,Doble Utilidad,337233.00
2007,Córdoba,Doble Utilidad,334404.00
2008,Córdoba,Doble Utilidad,282840.00
2009,Córdoba,Doble Utilidad,326740.00
2004,Córdoba,Leche,301.00
2007,Córdoba,Leche,3401.00
2008,Córdoba,Leche,5523.00
2009,Córdoba,Leche,12616.00
